gene_id	gene_name	SRR2219873	SRR2219887	SRR2219889	SRR2219891	SRR2219895	SRR2219907
ENSG00000159692.18	CTBP1	363	648.999	633.999	734.999	799.001	831.001
ENSG00000159708.18	LRRC36	0	2	1	1	3	2
ENSG00000159712.10	ANKRD18CP	0	0	0	2.067	0	0
ENSG00000159713.11	TPPP3	207	53	48.999	173.282	193	1681
ENSG00000159714.12	ZDHHC1	25	32	39	35	48	122
ENSG00000159720.13	ATP6V0D1	358.001	321.999	631.001	136	424.999	924
ENSG00000159723.5	AGRP	0	0	1	0	0	0
ENSG00000159733.14	ZFYVE28	14	105	65.999	67	52	29
ENSG00000159753.15	CARMIL2	7	189	174	401	37	17.999
ENSG00000159761.15	C16orf86	6	18	22	8	6	2
ENSG00000159763.4	PIP	0	1	2	0	0	1
ENSG00000159784.18	FAM131B	0	9	9	4	9	3
ENSG00000159788.20	RGS12	265.999	219	197	275.001	347	398
ENSG00000159792.10	PSKH1	100	117	81	55	125	374
ENSG00000159840.16	ZYX	273.001	712.999	1790	370	1163	477.999
ENSG00000159842.16	ABR	311.001	609.998	796.998	384.999	1239	336.999
ENSG00000159860.8	TCAF2P1	0	0	0	0	0	0
ENSG00000159871.15	LYPD5	313.999	24	34	32	214	20
ENSG00000159873.10	CCDC117	149	334.999	312.999	186	498	395
ENSG00000159882.13	ZNF230	19.925	31.285	30.45	34.9	29.256	40.902
ENSG00000159884.12	CCDC107	17	71	104	89.001	117	30
ENSG00000159885.14	ZNF222	8.38	11.02	16.264	10.459	31.334	18.368
ENSG00000159899.16	NPR2	82	42	83.001	34	41.999	5
ENSG00000159904.13	ZNF890P	0	0	0	4.479	0	2.686
ENSG00000159905.15	ZNF221	2	4.33	13.033	3.495	3	5.666
ENSG00000159915.13	ZNF233	0	3	1	3	1	5
ENSG00000159917.17	ZNF235	25	39	24	13	53.001	32
ENSG00000159921.20	GNE	112	141	112	77	202	154
ENSG00000159958.7	TNFRSF13C	5	118	91	325	15	61
ENSG00000159961.3	OR3A3	0	0	1	1	0	0
ENSG00000160007.20	ARHGAP35	183	449	233.999	248	991.999	709
ENSG00000160013.10	PTGIR	8	23.001	23.999	9	19	9
ENSG00000160014.17	CALM3	675	791.999	1287.999	583	1236.999	747.999
ENSG00000160049.12	DFFA	134	213	149	178	516	364
ENSG00000160050.16	CCDC28B	7	30.103	26	27.999	48.999	29
ENSG00000160051.12	IQCC	29	28	8	49	37	79.001
ENSG00000160055.20	TMEM234	36	60	46.001	103	83.999	55
ENSG00000160058.19	BSDC1	207	367	378.001	260	571	513.588
ENSG00000160062.15	ZBTB8A	34	67	54	45	136	87
ENSG00000160072.20	ATAD3B	271.069	162.464	157.291	139.062	352.349	466.548
ENSG00000160075.12	SSU72	421	478	355.308	360	1224	1195
ENSG00000160087.21	UBE2J2	261.999	173.999	131.001	224.001	453	503.999
ENSG00000160094.15	ZNF362	50	125	108	202	133.167	203
ENSG00000160097.21	FNDC5	1	2	5	1	1	1
